name	x	y	z
cepPiva	0.127	0.16	0.224
cepPiva	0.1104	0.1405	0.2031
cepPiva	0.0964	0.1239	0.1844
cepPiva	0.0845	0.1098	0.1676
cepPiva	0.0746	0.0976	0.1523
cepPiva	0.066	0.0869	0.1386
cepPiva	0.0585	0.0778	0.1262
cepPiva	0.0523	0.0697	0.1149
cepPiva	0.0466	0.0627	0.1047
cepPiva	0.0418	0.0566	0.0954
cepPiva	0.0377	0.0511	0.087
cepPiva	0.0339	0.0463	0.0794
cepPiva	0.0306	0.042	0.0725
cepPiva	0.0277	0.0382	0.0661
cepPiva	0.0252	0.0347	0.0604
cepPiva	0.0229	0.0317	0.0552
cepPiva	0.0209	0.0289	0.0505
cepPiva	0.0191	0.0265	0.0461
cepPiva	0.0174	0.0243	0.0422
cepPiva	0.016	0.0223	0.0386
cepPiva	0.0147	0.0205	0.0353
cepPiva	0.0136	0.0189	0.0322
cepPiva	0.0125	0.0175	0.0295
cepPiva	0.0117	0.0161	0.027
cepPiva	0.0108	0.015	0.0247
cepPiva	0.0102	0.0139	0.0226
cepPiva	0.0094	0.0129	0.0207
cepPiva	0.0088	0.012	0.019
cepPiva	0.0083	0.0113	0.0174
cepPiva	0.0077	0.0105	0.0159
cepPiva	0.0073	0.0099	0.0146
cepPiva	0.0069	0.0093	0.0134
cepPiva	0.0066	0.0087	0.0123
cepPiva	0.0062	0.0082	0.0113
cepPiva	0.0059	0.0078	0.0104
cepPiva	0.0056	0.0074	0.0095
cepPiva	0.0054	0.0069	0.0087
cepPiva	0.0052	0.0066	0.008
cepPiva	0.0049	0.0062	0.0073
cepPiva	0.0047	0.006	0.0067
cepPiva	0.0044	0.0058	0.0062
cepPiva	0.0043	0.0055	0.0057
cepPiva	0.0041	0.0053	0.0053
cepPiva	0.004	0.0051	0.0048
cepPiva	0.0039	0.0048	0.0045
cepPiva	0.0037	0.0046	0.0041
cepPiva	0.0037	0.0045	0.0038
cepPiva	0.0036	0.0043	0.0035
cepPiva	0.0034	0.0041	0.0032
cepPiva	0.0033	0.004	0.003
cepPiva	0.0032	0.0039	0.0028
cepPiva	0.0031	0.0037	0.0026
cepPiva	0.003	0.0036	0.0024
cepPiva	0.003	0.0036	0.0022
cepPiva	0.0028	0.0034	0.0021
cepPiva	0.0029	0.0034	0.0019
cepPiva	0.0028	0.0033	0.0018
cepPiva	0.0027	0.0032	0.0017
cepPiva	0.0026	0.003	0.0016
cepPiva	0.0025	0.003	0.0015
cepPiva	0.0025	0.0029	0.0013
cepPiva	0.0025	0.0028	0.0013
cepPiva	0.0024	0.0027	0.0012
cepPiva	0.0023	0.0027	0.0011
cepPiva	0.0023	0.0026	0.001
cepPiva	0.0023	0.0025	0.001
cepPiva	0.0021	0.0024	0.0009
cepPiva	0.0022	0.0024	0.0009
cepPiva	0.0021	0.0023	0.0008
cepPiva	0.002	0.0023	0.0008
cepPiva	0.002	0.0022	0.0007
cepPiva	0.002	0.0022	0.0007
cepPiva	0.0019	0.0021	0.0007
cepPiva	0.9949	0.928	0.6727
cepPiva	0.8779	0.821	0.6094
cepPiva	0.778	0.7292	0.5572
cepPiva	0.6918	0.6505	0.5132
cepPiva	0.617	0.5825	0.4752
cepPiva	0.5519	0.5227	0.4427
cepPiva	0.495	0.4699	0.4139
cepPiva	0.4448	0.4227	0.3899
cepPiva	0.3975	0.3788	0.3624
cepPiva	0.3592	0.3419	0.3443
cepPiva	0.3245	0.3093	0.3246
cepPiva	0.293	0.2796	0.3059
cepPiva	0.266	0.254	0.2889
cepPiva	0.2415	0.2307	0.273
cepPiva	0.2201	0.2105	0.2585
cepPiva	0.2102	0.201	0.2516
cepPiva	0.1758	0.1683	0.226
cepPiva	0.1482	0.1418	0.2036
cepPiva	0.1258	0.1203	0.1838
cepPiva	0.1075	0.1027	0.1662
cepPiva	0.0924	0.0882	0.1505
cepPiva	0.0798	0.0761	0.1364
cepPiva	0.0694	0.0661	0.1237
cepPiva	0.0605	0.0575	0.1123
cepPiva	0.053	0.0503	0.102
cepPiva	0.0465	0.0442	0.0928
cepPiva	0.041	0.0389	0.0844
cepPiva	0.0362	0.0344	0.0768
cepPiva	0.032	0.0305	0.0699
cepPiva	0.0285	0.0271	0.0637
cepPiva	0.0252	0.0241	0.058
cepPiva	0.0225	0.0216	0.0528
cepPiva	0.02	0.0192	0.0482
cepPiva	0.0179	0.0173	0.0439
cepPiva	0.016	0.0154	0.0401
cepPiva	0.0143	0.0139	0.0365
cepPiva	0.0128	0.0124	0.0334
cepPiva	0.0115	0.0111	0.0305
cepPiva	0.0103	0.01	0.0278
cepPiva	0.0093	0.0091	0.0254
