Ax      Bx     Ay      By     Az      Bz     label
0.0855 -0.0861 0.0516 -0.0919 0.0725 -0.0866 2
0.0976 -0.0851 0.0873 -0.0862 0.0894 -0.0851 2
0.1092 -0.0843 0.0952 -0.0847 0.0936 -0.0841 2
0.0690 -0.0853 0.0619 -0.0864 0.0658 -0.0842 2
0.1075 -0.0845 0.0965 -0.0853 0.1065 -0.0837 2
0.0637 -0.0858 0.0744 -0.0856 0.0701 -0.0854 2
0.0829 -0.0859 0.0531 -0.0885 0.0757 -0.0860 2
0.0258 -0.0904 0.0148 -0.0976 0.0309 -0.0890 2
0.0934 -0.0806 0.1016 -0.0796 0.0609 -0.0828 2
0.1075 -0.0794 0.0639 -0.0837 0.0807 -0.0800 2
0.0160 -0.0819 0.0156 -0.0841 0.0188 -0.0824 2
0.0143 -0.0892 0.0153 -0.0892 0.0121 -0.0912 2
0.0257 -0.0873 0.0175 -0.0871 0.0218 -0.0851 2
0.0274 -0.0798 0.0269 -0.0812 0.0257 -0.0805 2
0.1252 -0.0806 0.1273 -0.0789 0.0901 -0.0807 2
0.0673 -0.0851 0.0521 -0.0841 0.0449 -0.0874 2
0.0334 -0.0839 0.0305 -0.0849 0.0650 -0.0837 2
0.0850 -0.0807 0.0798 -0.0806 0.0676 -0.0812 2
0.0196 -0.1128 0.0429 -0.0898 0.0458 -0.0854 2
0.0090 -0.0772 0.0094 -0.0779 0.0165 -0.0860 2
0.0565 -0.0830 0.0580 -0.0828 0.0526 -0.0829 2
0.3964 -0.0788 0.4062 -0.0810 0.2078 -0.1160 3
0.5436 -0.0786 0.6087 -0.0793 0.2839 -0.1119 3
0.3636 -0.0802 0.3018 -0.0796 0.1792 -0.1162 3
0.4010 -0.0796 0.4598 -0.0799 0.2167 -0.1158 3
0.4952 -0.0796 0.4955 -0.0793 0.2399 -0.1129 3
0.3007 -0.0805 0.2934 -0.0800 0.1649 -0.1156 3
0.3735 -0.0807 0.3590 -0.0795 0.1947 -0.1160 3
0.3546 -0.0803 0.3743 -0.0800 0.1881 -0.1154 3
0.3200 -0.0804 0.3141 -0.0800 0.1729 -0.1172 3
0.4547 -0.0798 0.4558 -0.0789 0.2274 -0.1131 3
0.4697 -0.0804 0.4852 -0.0790 0.2310 -0.1175 3
0.4939 -0.0791 0.5021 -0.0798 0.2413 -0.1132 3
0.3491 -0.0812 0.1640 -0.1111 0.2840 -0.0799 3
0.4652 -0.0808 0.2580 -0.1034 0.4076 -0.0798 3
0.3113 -0.0796 0.1813 -0.1088 0.3521 -0.0811 3
0.3264 -0.0790 0.1806 -0.1014 0.3253 -0.0806 3
0.3416 -0.0797 0.2022 -0.1066 0.3750 -0.0809 3
0.5446 -0.0808 0.2925 -0.1015 0.4872 -0.0790 3
0.3088 -0.0797 0.1706 -0.1137 0.3705 -0.0809 3
0.3735 -0.0786 0.2397 -0.1010 0.3938 -0.0805 3
0.3979 -0.0794 0.2225 -0.1093 0.4220 -0.0808 3
0.3073 -0.0792 0.1799 -0.1045 0.3115 -0.0805 3
0.3552 -0.0813 0.1527 -0.1172 0.3080 -0.0797 3
0.3222 -0.0791 0.1786 -0.1098 0.3437 -0.0809 3
0.3359 -0.0786 0.1716 -0.1087 0.3370 -0.0805 3
0.3490 -0.0806 0.1766 -0.1107 0.3455 -0.0786 3
0.4519 -0.0807 0.2549 -0.1065 0.4194 -0.0803 3
0.3632 -0.0805 0.1949 -0.1017 0.3265 -0.0805 3
0.5364 -0.1045 0.8818 -0.0804 1.0315 -0.0796 3
0.4620 -0.0984 0.6488 -0.0800 0.6684 -0.0808 3
0.1993 -0.1056 0.3762 -0.0790 0.4123 -0.0804 3
0.2790 -0.1010 0.4944 -0.0803 0.4658 -0.0805 3
0.4239 -0.0805 0.4212 -0.0792 0.2284 -0.1009 3
0.4078 -0.0983 0.6790 -0.0789 0.6139 -0.0803 3
0.4715 -0.1077 0.8442 -0.0805 0.7445 -0.0809 3
0.4428 -0.0986 0.8390 -0.0798 0.7563 -0.0806 3
0.5315 -0.0803 0.4930 -0.0806 0.2782 -0.1055 3
0.3434 -0.1033 0.5962 -0.0802 0.6325 -0.0801 3
0.1744 -0.1068 0.3738 -0.0797 0.3493 -0.0810 3
