A_mul   B_mul  label
0.0002 -0.0003 1
0.0001 -0.0003 1
0.0000 -0.0002 1
0.0004 -0.0003 1
0.0000 -0.0003 1
0.0007 -0.0003 1
0.0008 -0.0003 1
0.0047 -0.0002 1
0.0000 -0.0003 1
0.0001 -0.0003 1
0.0001 -0.0003 1
0.0002 -0.0003 1
0.0001 -0.0003 1
0.0002 -0.0003 1
0.0001 -0.0003 1
0.0005 -0.0003 1
0.0005 -0.0003 1
0.0002 -0.0003 1
0.0001 -0.0003 1
0.0001 -0.0003 1
0.0007 -0.0003 1
0.0012 -0.0003 1
0.0000 -0.0003 1
0.0001 -0.0003 1
